,1,image_path,spotify_track_url,track_name,artist,spotify_artist_url,album_name,spotify_album_url,2,song_length
0,1,https://i.scdn.co/image/ab67616d000048511b8ae147aceb9fc130391287,https://open.spotify.com/track/1SS0WlKhJewviwEDZ6dWj0,SPOT!,ZICO,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,SPOT!,https://open.spotify.com/album/3K3C9JjwCGQAzj3Bu7BUaI,1 week ago,2:47
1,2,https://i.scdn.co/image/ab67616d00004851f037c5fb9de6c78726cb8e2c,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN,SUPER REAL ME,https://open.spotify.com/album/6irebIc6UO8fN0jl4UlzBS,"Mar 25, 2024",2:40
2,3,https://i.scdn.co/image/ab67616d0000485126cc1062ed475f238d244141,https://open.spotify.com/track/4gOwpU4kMZZNDWkoHYUj1Z,해야 (HEYA),IVE,https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ,IVE SWITCH,https://open.spotify.com/album/7z61DsZtWO2S4nC5xd0b9p,5 days ago,3:09
3,4,https://i.scdn.co/image/ab67616d00004851110f5426b8c149e80804912a,https://open.spotify.com/track/4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,EASY,https://open.spotify.com/album/1YCj4PZi08G20y2ekGKY0C,"Mar 20, 2024",2:46
4,5,https://i.scdn.co/image/ab67616d000048514f6afc385052250c766a5683,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,https://open.spotify.com/artist/1SIocsqdEefUTE6XKGUiVS,BABYMONS7ER,https://open.spotify.com/album/0eSbsl3j8jz96LC2NCLPc4,"Apr 1, 2024",2:50
5,6,https://i.scdn.co/image/ab67616d00004851a6821d337117c8f69235080a,https://open.spotify.com/track/5zBO8f5BKQX4VNR3ILfDXk,Impossible,RIIZE,https://open.spotify.com/artist/2jOm3cYujQx6o1dxuiuqaX,Impossible,https://open.spotify.com/album/1M6NqKR4E8SISWegTJZsWR,3 weeks ago,3:02
6,7,https://i.scdn.co/image/ab67616d000048516c498180e56f57e7d7bcdb86,https://open.spotify.com/track/2UE9XGbAzicJIyo4bB6sqM,MAESTRO,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',https://open.spotify.com/album/2Jrp37x38qZqtyrIrfxN4H,5 days ago,3:18
7,8,https://i.scdn.co/image/ab67616d0000485142281601a5a3f882ea77741e,https://open.spotify.com/track/5qI5EUqfDJpQ7w6sMECK7U,Super Lady,(G)I-DLE,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,2,https://open.spotify.com/album/0mC9MXPddkzggVsOXh5gd3,"Feb 17, 2024",2:32
8,9,https://i.scdn.co/image/ab67616d00004851110f5426b8c149e80804912a,https://open.spotify.com/track/2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,EASY,https://open.spotify.com/album/1YCj4PZi08G20y2ekGKY0C,"Feb 19, 2024",2:44
9,10,https://i.scdn.co/image/ab67616d00004851bf5cce5a0e1ed03a626bdd74,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),Jung Kook,https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto),https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,"Sep 25, 2023",3:04
